item_id,app_name,genres,year,price,developer
4760,Rome: Total War™ - Collection,Strategy,2004,9.99,The Creative Assembly
4770,Rome: Total War™ - Alexander,Strategy,2006,4.99,The Creative Assembly
50970,Mystery Case Files: Madame Fate®,Casual,2007,6.99,Big Fish Games
12130,Manhunt,Action,2004,9.99,Rockstar North
12160,Midnight Club 2,Racing,2003,9.99,Rockstar San Diego
12150,Max Payne 2: The Fall of Max Payne,Action,2003,9.99,Remedy Entertainment
7000,Tomb Raider: Legend,Action,2006,6.99,Crystal Dynamics
12140,Max Payne,Action,2001,9.99,Remedy Entertainment
17480,Command & Conquer: Red Alert 3,Strategy,2008,19.99,EA Los Angeles
12500,PuzzleQuest: Challenge of the Warlords,Casual,2007,9.99,Infinite Interactive
12310,Culpa Innata,RPG,2007,9.99,Momentum Digital Media Technologies
12510,Prison Tycoon 3™: Lockdown,Strategy,2007,9.99,"Gamebryo,Virtual Playground"
12530,Hunting Unlimited™ 2008,Action,2007,9.99,SCS Software
12520,18 Wheels of Steel: American Long Haul,Racing,2007,9.99,SCS Software
8100,Conflict: Denied Ops,Action,2008,5.99,Pivotal Games
2780,ARMA: Combat Operations,Action,2007,7.99,Bohemia Interactive
9710,Desperados 2: Cooper's Revenge,Action,2006,9.99,Spellbound
9800,Death to Spies,Action,2007,4.99,Haggard Games
9760,Act of War: High Treason,Action,2006,2.99,Eugen Systems
2700,RollerCoaster Tycoon® 3: Platinum,Simulation,2006,19.99,"Frontier,Aspyr (Mac)"
2710,Act of War: Direct Action,Action,2005,2.99,Eugen Systems
13200,Unreal 2: The Awakening,Action,2003,14.99,"Epic Games, Inc."
13250,Unreal Gold,Action,1998,9.99,"Epic Games, Inc."
13000,Ninja Reflex: Steamworks Edition,Casual,2008,4.99,Sanzaru Games
13560,Tom Clancy's Splinter Cell®,Action,2003,9.99,Ubisoft
13520,Far Cry®,Action,2004,9.99,Crytek Studios
13240,Unreal Tournament: Game of the Year Edition,Action,2000,9.99,"Epic Games, Inc."
13540,Tom Clancy's Rainbow Six® Vegas,Action,2006,9.99,Ubisoft Montreal
15210,Silent Hunter® III,Simulation,2005,9.99,Ubisoft
16180,Virtual Villagers - The Secret City,Casual,2008,9.99,Last Day of Work
3520,Mystery P.I.™ - The Vegas Heist,Casual,2008,4.99,SpinTop Games
15970,Luxor,Casual,2008,9.99,MumboJumbo
15950,Reaxxion,Casual,2008,9.99,MumboJumbo
15960,Little Farm,Casual,2008,9.99,MumboJumbo
15900,7 Wonders II,Casual,2008,9.99,MumboJumbo
15910,Luxor Amun Rising,Casual,2005,9.99,MumboJumbo
15930,Luxor 3,Casual,2007,9.99,MumboJumbo
15160,Petz® Horsez® 2,Simulation,2007,9.99,Ubisoft
15920,Luxor 2,Casual,2005,9.99,MumboJumbo
15080,Rayman Raving Rabbids™,Action,2007,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier"
15200,Silent Hunter®: Wolves of the Pacific,Simulation,2007,9.99,Ubisoft Romania
15320,IL-2 Sturmovik: 1946,Simulation,2006,9.99,1C: Maddox Games
15240,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Simulation,2008,9.99,Ubisoft Romania
8310,Bone: Out From Boneville,Adventure,2005,9.99,Telltale Games
12600,Midnight Outlaw: 6 Hours to SunUp,Racing,2005,9.99,"Merscom,Babylon"
8320,Bone: The Great Cow Race,Adventure,2006,9.99,Telltale Games
12590,Sprint Cars Road to Knoxville,Racing,2008,9.99,BigAnt Studios
12560,Ride! Carnival Tycoon,Simulation,2007,9.99,Gabriel Entertainment
12540,Mahjongg Investigations: Under Suspicion,Casual,2007,9.99,Zemnott
11050,Dracula Origin,Adventure,2008,9.99,Frogwares
11040,Sherlock Holmes - Nemesis,Adventure,2008,9.99,Frogwares
19500,Eternity's Child,Adventure,2008,4.99,"Luc Bernard,SilverSphereStudios"
11260,Pacific Storm Allies,Simulation,2007,7.99,Lesta Studio
19200,Tank Universal,Action,2008,4.99,Dialogue Design
12360,FlatOut: Ultimate Carnage,Racing,2008,19.99,Bugbear Entertainment
15710,Oddworld: Abe's Exoddus®,Adventure,1998,2.99,Oddworld Inhabitants
15700,Oddworld: Abe's Oddysee®,Adventure,1997,2.99,Oddworld Inhabitants
8660,GTR Evolution Expansion Pack for RACE 07,Racing,2008,7.99,SimBin
7770,X-COM: Enforcer,Strategy,2001,4.99,"MicroProse Software, Inc"
7660,X-COM: Apocalypse,Strategy,1997,4.99,"MicroProse Software, Inc"
7760,X-COM: UFO Defense,Strategy,1993,4.99,"MicroProse Software, Inc"
20510,S.T.A.L.K.E.R.: Clear Sky,Action,2008,9.99,GSC Game World
17330,Crysis Warhead®,Action,2008,19.99,Crytek
17300,Crysis,Action,2007,19.99,Crytek
7730,X-COM: Interceptor,Strategy,1998,4.99,"MicroProse Software, Inc"
20900,The Witcher: Enhanced Edition Director's Cut,Action,2008,9.99,CD PROJEKT RED
1530,Multiwinia,Indie,2008,9.99,Introversion Software
8690,STCC - The Game 1 - Expansion Pack for RACE 07,Racing,2008,2.99,SimBin
17120,Children of the Nile: Alexandria,Strategy,2008,2.49,"Tilted Mill Entertainment, Inc."
16810,Sid Meier's Civilization IV: Colonization,Strategy,2008,19.99,Firaxis Games
19830,Tom Clancy's Rainbow Six® 3 Gold,Action,2003,9.99,"Red Storm Entertainment,Ubisoft Montreal"
21000,LEGO Batman,Action,2008,19.99,Traveller's Tales
4460,City Life 2008,Simulation,2008,9.99,Monte Cristo
17140,Hinterland,RPG,2008,9.99,"Tilted Mill Entertainment, Inc."
15390,Brothers in Arms: Hell's Highway™,Action,2008,9.99,Gearbox Software
21300,Gravitron 2,Indie,2008,4.99,Dark Castle Software
3050,Xpand Rally Xtreme,Racing,2006,4.99,Techland
15380,Heroes of Might & Magic V: Hammers of Fate,Strategy,2006,9.99,Nival
19800,Brothers in Arms: Earned in Blood™,Action,2005,9.99,Gearbox Software
15370,Heroes of Might & Magic V: Tribes of the East,Strategy,2007,9.99,Nival
19930,The Settlers®: Rise Of An Empire Gold Edition,Strategy,2008,19.99,Blue Byte
15350,Brain Spa,Casual,2007,9.99,Ubisoft
19810,The Sum of All Fears,Action,2002,9.99,Red Storm Entertainment
3540,Peggle™ Nights,Casual,2008,4.99,"PopCap Games, Inc."
22000,World of Goo,Indie,2008,9.99,2D BOY
2820,X3: Terran Conflict,Action,2008,15.99,Egosoft
18300,Spectraball,Casual,2008,4.99,Shorebound Studios
20200,Galactic Bowling,Indie,2008,19.99,Perpetual FX Creative
12200,Bully: Scholarship Edition,Action,2008,14.99,Rockstar New England
19900,Far Cry® 2: Fortune's Edition,Action,2008,9.99,Ubisoft Montreal
11240,Space Trader: Merchant Marine,Action,2008,4.99,Meridian4
256522,PRR Wagon Pack 01,Simulation,2009,4.99,RailSimulator.com
275144,"Class 421 London South East ""Jaffa Cake""",Simulation,2009,4.99,RailSimulator.com
256521,ATSF Wagon Pack 01,Simulation,2009,4.99,RailSimulator.com
222569,GP20 Union Pacific Add-on Livery,Simulation,2009,4.99,Reppo
256535,UK Van Wagon Pack,Simulation,2009,4.99,RailSimulator.com
256611,CSX SD70MAC Add-on Livery,Simulation,2009,4.99,Dovetail Games
256576,CSX ES44AC Add-on Livery,Simulation,2009,4.99,Dovetail Games
9480,Saints Row 2,Action,2009,9.99,Volition
17470,Dead Space,Action,2008,19.99,EA Redwood Shores
12770,Rise of the Argonauts,RPG,2008,9.99,Liquid Entertainment
17410,Mirror's Edge™,Action,2009,19.99,DICE
18500,Defense Grid: The Awakening,Indie,2008,9.99,Hidden Path Entertainment
16450,F.E.A.R. 2: Project Origin,Action,2009,14.99,Monolith
15400,Harvest: Massive Encounter,Strategy,2008,7.99,Oxeye Game Studio
18600,Mayhem Intergalactic,Indie,2007,9.99,Inventive Dingo
11340,Larva Mortus,Action,2009,4.99,Meridian4
25830,Knights of Honor,Strategy,2005,9.99,Black Sea Studios Ltd
23460,Ceville,Action,2009,5.99,Realmforge Studios
10600,Empire: Total War™ - Special Forces Units & Bonus Content,Strategy,2009,2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
21010,Watchmen: The End is Nigh,Action,2009,4.99,Deadline Games
22180,Penumbra Overture,Action,2007,9.99,Frictional Games
13210,Unreal Tournament 3 Black,Action,2007,19.99,"Epic Games, Inc."
12640,Drakensang,RPG,2009,9.99,Radon Labs
27020,The Graveyard,Indie,2008,4.99,Tale of Tales
24740,Burnout Paradise: The Ultimate Box,Racing,2009,19.99,Criterion Games
26000,The Maw,Action,2009,9.99,Twisted Pixel Games
26006,The Maw: River Redirect,Action,2009,1.25,Twisted Pixel Games
26005,The Maw: Brute Force,Action,2009,1.25,Twisted Pixel Games
11330,Obulis,Casual,2009,4.99,IonFX
27800,Space Giraffe,Indie,2009,9.99,Llamasoft LTD
9850,Codename: Panzers - Cold War,Simulation,2009,14.99,"InnoGlow,Stormregion,THQ Nordic"
3600,Escape Rosecliff Island,Casual,2009,4.99,SpinTop Games
29580,Guild Wars Nightfall,RPG,2006,19.99,ArenaNet®
29540,Guild Wars,RPG,2005,19.99,ArenaNet®
29560,Guild Wars Factions,RPG,2006,19.99,ArenaNet®
29570,Guild Wars Trilogy,Massively Multiplayer,2008,29.99,ArenaNet®
23700,Puzzle Kingdoms,Casual,2009,14.99,Infinite Interactive
16060,Samantha Swift and the Golden Touch,Casual,2009,9.99,MumboJumbo
1930,Two Worlds Epic Edition,RPG,2009,9.99,Reality Pump Studios
18470,Helldorado,Strategy,2009,9.99,Spellbound
7510,X-Blades,Action,2009,9.99,Gaijin Entertainment
22200,Zeno Clash,Action,2009,9.99,ACE Team
26007,The Maw: Speeder Lane,Indie,2009,1.25,Twisted Pixel Games
25900,King's Bounty: The Legend,RPG,2008,6.99,1C Company
16200,Virtual Families,Casual,2009,9.99,Last Day of Work
7840,Death Track®: Resurrection,Racing,2009,2.99,Sky Fallen
8890,Freedom Force vs. the Third Reich,RPG,2005,4.99,Irrational Games
8880,Freedom Force,RPG,2002,4.99,Irrational Games
34500,Light of Altair,Indie,2009,14.99,SaintXi
10150,Prototype™,Action,2009,19.99,Radical Entertainment
12470,Port Royale 2,Strategy,2004,4.99,Ascaron Entertainment ltd.
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,RPG,2007,14.99,Bethesda Game Studios
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,RPG,2002,14.99,Bethesda Game Studios
12440,Ankh 2: Heart of Osiris,Adventure,2007,4.99,Deck 13
32710,Armored Fist 3,Simulation,1999,9.99,NovaLogic
32740,MiG-29 Fulcrum,Simulation,1998,9.99,NovaLogic
12460,BC Kings,Strategy,2008,4.99,Mascot Entertainment
21980,Call of Juarez®: Bound in Blood,Action,2009,9.99,Techland
31860,Nancy Drew®: Legend of the Crystal Skull,Adventure,2007,6.99,HeR Interactive
31900,Nancy Drew®: The Creature of Kapu Cave,Adventure,2006,6.99,HeR Interactive
31920,Nancy Drew®: The Phantom of Venice,Adventure,2008,6.99,HeR Interactive
31930,Nancy Drew®: The White Wolf of Icicle Creek,Adventure,2007,6.99,HeR Interactive
31170,Tales of Monkey Island Complete Pack,Adventure,2009,19.99,Telltale Games
21660,Street Fighter® IV,Action,2009,19.99,Capcom
6080,Thrillville®: Off the Rails™,Action,2007,9.99,Frontier
6010,Indiana Jones® and the Fate of Atlantis™,Adventure,1992,5.99,LucasArts
6090,Armed and Dangerous®,Action,2003,5.99,Planet Moon Studios
6060,"Star Wars: Battlefront 2 (Classic, 2005)",Action,2005,9.99,Pandemic Studios
32310,Indiana Jones® and the Last Crusade™,Adventure,1989,5.99,LucasArts
32330,LEGO® Indiana Jones™: The Original Adventures,Action,2008,19.99,Traveller's Tales
32360,The Secret of Monkey Island: Special Edition,Adventure,2009,9.99,LucasArts
35300,Warfare,Strategy,2008,12.99,GFI Russia
35310,Clutch,Action,2009,9.99,Targem Games
31980,Nancy Drew®: Ransom of the Seven Ships,Adventure,2009,6.99,HeR Interactive
10140,3D Ultra™ Minigolf Adventures,Sports,2006,9.99,Wanako Games
10100,King's Quest™ Collection,Adventure,2006,19.99,Sierra
10130,TimeShift™,Action,2007,19.99,Saber Interactive
10110,Space Quest™ Collection,Adventure,2006,19.99,Sierra
1256,Killing Floor Outbreak Character Pack,Action,2009,7.99,Tripwire Interactive
10120,Aces of the Galaxy™,Action,2008,9.99,Artech Studios
33520,Tropico Reloaded,Simulation,2009,6.99,"PopTop Software,BreakAway Games,Frog City Software"
3610,Mystery P.I. - Lost in Los Angeles,Casual,2009,4.99,SpinTop Games
21680,Bionic Commando: Rearmed,Action,2008,9.99,Capcom
21670,Bionic Commando,Action,2009,9.99,Capcom
21030,Watchmen: The End is Nigh Part 2,Action,2009,4.99,Deadline Games
36000,Foreign Legion: Buckets of Blood,Action,2009,4.99,Sakari Indie
32370,STAR WARS™ - Knights of the Old Republic™,Adventure,2003,9.99,"BioWare,Aspyr (Mac)"
29180,Osmos,Indie,2009,9.99,Hemisphere Games
38410,Fallout 2: A Post Nuclear Role Playing Game,RPG,1998,9.99,Black Isle Studios
38420,Fallout Tactics: Brotherhood of Steel,Strategy,2001,9.99,14° East
38430,Kingpin — Life of Crime,Action,1999,9.99,Xatrix Entertainment
31180,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,Adventure,2009,19.99,Telltale Games
37960,Jewel Quest Pack,Casual,2009,19.99,iWin
38000,Mahjong Quest Collection,Casual,2009,9.99,iWin
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",Adventure,2009,4.99,Size Five Games
13570,Tom Clancy's Splinter Cell Chaos Theory®,Action,2005,9.99,Ubisoft Montreal
34420,XIII Century – Gold Edition,Strategy,2009,4.99,Unicorn Games Studio
43100,World of Zoo,Simulation,2009,14.99,Blue Fang
35000,Mini Ninjas,Action,2009,9.99,IO Interactive
39392,Freeze Tag Fun Pack #2,Casual,2009,19.99,"Freeze Tag Inc.,iQ212"
39391,Freeze Tag Fun Pack #1,Casual,1999,19.99,"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment"
37600,Windosill,Adventure,2009,2.99,"Vectorpark, Inc."
24029,Train Simulator: Colton & Northern Route Add-On,Simulation,2009,24.99,All Aboard
32140,Midnight Mysteries,Adventure,2009,9.99,MumboJumbo
31190,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,Adventure,2009,19.99,Telltale Games
32770,Joint Operations: Combined Arms Gold,Action,2009,19.99,NovaLogic
208306,Train Simulator: US Loco & Asset Pack,Simulation,2009,17.99,Dovetail Games
37300,DinerTown Tycoon,Simulation,2009,9.99,PlayFirst
208300,Train Simulator: European Loco & Asset Pack,Simulation,2009,19.99,Dovetail Games
40300,Risen,RPG,2009,9.99,Piranha Bytes
35070,Flora's Fruit Farm,Casual,2009,3.99,Honeyslug
10606,Empire: Total War™ - The Warpath Campaign,Strategy,2009,9.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
40700,Machinarium,Adventure,2009,9.99,Amanita Design
24840,Medal of Honor: Airborne,Action,2007,9.99,EA Los Angeles
24870,Need for Speed: Shift,Racing,2009,19.99,Slightly Mad Studios
41500,Torchlight,RPG,2009,14.99,Runic Games
24800,Command & Conquer: Red Alert 3 - Uprising,Strategy,2009,19.99,EA Los Angeles
901735,The Stronghold Collection,Strategy,2009,19.99,FireFly Studios
42800,East India Company: Privateer,Strategy,2009,4.99,Nitro Games
39560,Painkiller: Resurrection,Action,2009,9.99,Homegrown Games
39550,SpellForce 2 - Anniversary Edition,RPG,2009,14.99,"Phenomic,THQ Nordic"
40330,Secret Files: Tunguska,Adventure,2009,9.99,Animation Arts
40320,Rush for Berlin Gold,Strategy,2009,4.99,Stormregion
31200,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,Adventure,2009,19.99,Telltale Games
3130,Men of War: Red Tide,Strategy,2009,4.99,1C Company
41100,Hammerfight,Action,2009,4.99,Konstantin Koshutin
39540,SpellForce - Platinum Edition,Action,2009,9.99,Phenomic
34640,Massive Assault: Phantom Renaissance,Strategy,2005,9.99,Wargaming.net
34630,Massive Assault,Strategy,2003,9.99,Wargaming.net
41000,Serious Sam HD: The First Encounter,Action,2009,14.99,Croteam
40340,Secret Files 2: Puritas Cordis,Adventure,2009,9.99,Animation Arts
17450,Dragon Age: Origins,RPG,2009,19.99,BioWare
37100,Aztaka,Action,2009,4.99,Citeremis Inc.
37500,Magnetis,Indie,2009,1.99,Yullaby
42810,For The Glory: A Europa Universalis Game,Strategy,2009,9.99,Crystal Empire Games
10180,Call of Duty®: Modern Warfare® 2,Action,2009,19.99,"Infinity Ward,Aspyr (Mac)"
32440,LEGO® Star Wars™ - The Complete Saga,Adventure,2009,19.99,"Traveller's Tales,Feral Interactive (Mac)"
11450,Overlord™,RPG,2007,4.99,"Triumph Studios,Virtual Programming"
12710,Overlord™: Raising Hell,RPG,2008,9.99,"Triumph Studios,Virtual Programming"
24790,Command & Conquer 3: Tiberium Wars,Strategy,2007,14.99,EA Los Angeles
29120,Yumsters 2: Around the World,Indie,2008,4.99,KranX Productions
24810,Command & Conquer 3: Kane's Wrath,Strategy,2009,19.99,EA Los Angeles
41800,Gratuitous Space Battles,Indie,2009,14.99,Positech Games
45300,Wings of Prey,Simulation,2009,9.99,Gaijin Entertainment
41900,The Bard's Tale,Action,2005,9.99,inXile Entertainment
32430,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,Action,2009,19.99,"LucasArts,Aspyr Studios"
22370,Fallout 3: Game of the Year Edition,RPG,2009,19.99,Bethesda Game Studios
41802,Gratuitous Space Battles: The Tribe,Strategy,2009,5.99,Positech Games
38080,Build-A-Lot,Simulation,2007,9.99,Hip Soft
38090,Build-A-Lot 2: Town of the Year,Simulation,2008,9.99,Hip Soft
38100,Build-A-Lot 3: Passport to Europe,Simulation,2009,9.99,Hip Soft
38070,Coconut Queen,Casual,2009,9.99,iWin
38210,Roogoo,Casual,2009,1.99,Spidermonk Entertainment
45700,Devil May Cry 4,Action,2008,19.99,Capcom
46410,Avencast: Rise of the Mage,Action,2010,9.99,ClockStone Studios
38110,Build-A-Lot 4: Power Source,Simulation,2009,9.99,Hip Soft
38130,Farm Frenzy 2,Casual,2008,4.99,Alawar
38160,Farm Frenzy 3: American Pie,Casual,2010,9.99,Alawar
38150,Farm Frenzy 3,Casual,2009,9.99,Alawar
38120,Farm Frenzy,Casual,2007,4.99,Alawar
38140,Farm Frenzy: Pizza Party,Casual,2009,4.99,Alawar
36300,Cake Mania Main Street™,Casual,2010,6.99,Sandlot Games
36310,Westward® IV: All Aboard,Strategy,2010,6.99,Sandlot Games
36320,Iron Roses,Adventure,2010,6.99,Cateia Games
37030,UFO: Extraterrestrials Gold,Strategy,2010,9.99,Chaos Concept
32450,LEGO® Indiana Jones™ 2: The Adventure Continues,Adventure,2010,19.99,Traveller's Tales
44100,Super Laser  Racer,Action,2010,4.99,New Star Games Ltd
25960,Hearts of Iron III: Soviet Infantry Pack DLC,Strategy,2010,0.99,Paradox Interactive
46250,NecroVisioN: Lost Company,Action,2010,6.99,The Farm 51
38180,Cradle of Persia,Casual,2007,9.99,Awem Studio
10695,Aliens vs. Predator Swarm Map Pack,Action,2010,7.49,Rebellion
41050,Serious Sam Classic: The First Encounter,Action,2001,9.99,Croteam
24055,Train Simulator: Fort Kent to Eagle Lake Route Add-On,Simulation,2010,19.99,All Aboard
48700,Mount & Blade: Warband,Action,2010,19.99,TaleWorlds Entertainment
39900,Coniclysm,Action,2010,4.99,ZoopTEK
49900,Plain Sight,Action,2010,4.99,Beatnik Games
42120,Lead and Gold: Gangs of the Wild West,Action,2010,9.99,Fatshark
12220,Grand Theft Auto: Episodes from Liberty City,Action,2010,19.99,Rockstar North / Toronto
45730,Dark Void™ Zero,Action,2010,4.99,Other Ocean Interactive
45400,Fortix,Indie,2010,0.99,Nemesys Games
49600,Beat Hazard,Action,2010,9.99,Cold Beam Games
901399,Sam & Max: The Devil’s Playhouse,Adventure,2010,19.99,Telltale Games
43500,M.U.D. TV,Simulation,2010,9.99,Realmforge Studios
45302,Wings of Luftwaffe Add-on,Simulation,2010,4.99,Gaijin Entertainment
40930,The Misadventures of P.B. Winterbottom,Adventure,2010,4.99,The Odd Gentlemen
39640,AquaNox 2: Revelation,Action,2003,4.99,THQ Nordic
39630,AquaNox,Action,2001,4.99,THQ Nordic
23150,Fluttabyes,Casual,2010,1.99,Red Chain Games Ltd.
50940,Hidden Expedition: Titanic,Casual,2006,9.99,Big Fish Games
50920,Hidden Expedition: Amazon,Casual,2008,9.99,Big Fish Games
34178,Napoleon: Total War™ - Coalition Battle Pack,Strategy,2010,2.99,"The Creative Assembly,Feral Interactive (Mac)"
37340,Fitness Dash™,Casual,2008,6.99,Sarbakan
37390,Gemini Lost™,Casual,2009,6.99,PlayFirst
37310,DinerTown Detective Agency™,Casual,2009,6.99,Absolutist Ltd.
37360,Mahjong Roadshow™,Casual,2007,6.99,PlayFirst
49000,Hotel Dash™ Suite Success™,Casual,2009,6.99,PlayFirst
37330,Nightshift Legacy: The Jaguar's Eye™,Casual,2010,6.99,PlayFirst
37320,The Nightshift Code™,Casual,2008,6.99,PlayFirst
37370,TriJinx: A Kristine Kross Mystery™,Casual,2007,6.99,PlayFirst
37380,Valerie Porter and the Scarlet Scandal™,Casual,2009,6.99,PlayFirst
19080,Biozone,Action,2010,9.99,G5 Entertainment
19030,Rocket Knight,Action,2010,14.99,Climax Studios
49800,Flight of the Icarus,Action,2010,4.99,Muse Games
33650,Puzzler World,Casual,2010,4.99,Ideas Pad
901478,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,Action,2010,19.99,Ubisoft
33660,Ziro,Casual,2010,4.99,Kokakiki
34281,Altered Beast™,Action,2010,2.99,SEGA
34272,Comix Zone™,Action,2010,2.99,SEGA
34270,SEGA Mega Drive and Genesis Classics,Action,2010,61.99,D3T Limited
34276,Golden Axe™,Action,2010,2.99,SEGA
34274,Ecco the Dolphin™,Action,2010,2.99,SEGA
34275,Gain Ground™,Strategy,2010,2.99,SEGA
34277,Shinobi™ III: Return of the Ninja Master,Action,2010,2.99,SEGA
34273,Crack Down™,Action,2010,2.99,SEGA
34280,VectorMan™,Action,2010,2.99,SEGA
34282,Shadow Dancer™,Action,2010,2.99,SEGA
34279,Space Harrier™ II,Action,2010,2.99,SEGA
34010,Alpha Protocol™,Action,2010,14.99,Obsidian Entertainment
